0,01 0,000314007
0,02 0,0012542
0,03 0,00281511
0,04 0,00498769
0,05 0,00775942
0,06 0,0111144
0,07 0,0150337
0,08 0,0194951
0,09 0,024474
0,1 0,0299431
0,11 0,0358728
0,12 0,0422315
0,13 0,0489862
0,14 0,0561022
0,15 0,0635437
0,16 0,071274
0,17 0,0792561
0,18 0,0874522
0,19 0,0958247
0,2 0,104336
0,21 0,112949
0,22 0,121627
0,23 0,130333
0,24 0,139033
0,25 0,147691
0,26 0,156276
0,27 0,164753
0,28 0,173094
0,29 0,181267
0,3 0,189245
0,31 0,197
0,32 0,204507
0,33 0,211742
0,34 0,218681
0,35 0,225304
0,36 0,231591
0,37 0,237523
0,38 0,243083
0,39 0,248254
0,4 0,253024
0,41 0,257378
0,42 0,261305
0,43 0,264794
0,44 0,267837
0,45 0,270424
0,46 0,27255
0,47 0,27421
0,48 0,275398
0,49 0,276112
0,5 0,276351
0,51 0,276112
0,52 0,275398
0,53 0,27421
0,54 0,27255
0,55 0,270424
0,56 0,267837
0,57 0,264794
0,58 0,261305
0,59 0,257378
0,6 0,253024
0,61 0,248254
0,62 0,243083
0,63 0,237523
0,64 0,231591
0,65 0,225304
0,66 0,218681
0,67 0,211742
0,68 0,204507
0,69 0,197
0,7 0,189245
0,71 0,181267
0,72 0,173094
0,73 0,164753
0,74 0,156276
0,75 0,147691
0,76 0,139033
0,77 0,130333
0,78 0,121627
0,79 0,112949
0,8 0,104336
0,81 0,0958247
0,82 0,0874522
0,83 0,0792561
0,84 0,071274
0,85 0,0635437
0,86 0,0561022
0,87 0,0489862
0,88 0,0422315
0,89 0,0358728
0,9 0,0299431
0,91 0,024474
0,92 0,0194951
0,93 0,0150337
0,94 0,0111144
0,95 0,00775942
0,96 0,00498769
0,97 0,00281511
0,98 0,0012542
0,99 0,000314007
1 6,7087e-11
1,01 0,000314007
1,02 0,0012542
1,03 0,00281511
1,04 0,00498769
1,05 0,00775942
1,06 0,0111144
1,07 0,0150337
1,08 0,0194951
1,09 0,024474
1,1 0,0299431
1,11 0,0358728
1,12 0,0422315
1,13 0,0489862
1,14 0,0561022
1,15 0,0635437
1,16 0,071274
1,17 0,0792561
1,18 0,0874522
1,19 0,0958247
1,2 0,104336
1,21 0,112949
1,22 0,121627
1,23 0,130333
1,24 0,139033
1,25 0,147691
1,26 0,156276
1,27 0,164753
1,28 0,173094
1,29 0,181267
1,3 0,189245
1,31 0,197
1,32 0,204507
1,33 0,211742
1,34 0,218681
1,35 0,225304
1,36 0,231591
1,37 0,237523
1,38 0,243083
1,39 0,248254
1,4 0,253024
1,41 0,257378
1,42 0,261305
1,43 0,264794
1,44 0,267837
1,45 0,270424
1,46 0,27255
1,47 0,27421
1,48 0,275398
1,49 0,276112
1,5 0,276351
1,51 0,276112
1,52 0,275398
1,53 0,27421
1,54 0,27255
1,55 0,270424
1,56 0,267837
1,57 0,264794
1,58 0,261305
1,59 0,257378
1,6 0,253024
1,61 0,248254
1,62 0,243083
1,63 0,237523
1,64 0,231591
1,65 0,225304
1,66 0,218681
1,67 0,211742
1,68 0,204507
1,69 0,197
1,7 0,189245
1,71 0,181267
1,72 0,173094
1,73 0,164753
1,74 0,156276
1,75 0,147691
1,76 0,139033
1,77 0,130333
1,78 0,121627
1,79 0,112949
1,8 0,104336
1,81 0,0958247
1,82 0,0874522
1,83 0,0792561
1,84 0,071274
1,85 0,0635437
1,86 0,0561022
1,87 0,0489862
1,88 0,0422315
1,89 0,0358728
1,9 0,0299431
1,91 0,024474
1,92 0,0194951
1,93 0,0150337
1,94 0,0111144
1,95 0,00775942
1,96 0,00498769
1,97 0,00281511
1,98 0,0012542
1,99 0,000314007
2 1,34174e-10
2,01 0,000314007
2,02 0,0012542
2,03 0,00281511
2,04 0,00498769
2,05 0,00775942
2,06 0,0111144
2,07 0,0150337
2,08 0,0194951
2,09 0,024474
2,1 0,0299431
2,11 0,0358728
2,12 0,0422315
2,13 0,0489862
2,14 0,0561022
2,15 0,0635437
2,16 0,071274
2,17 0,0792561
2,18 0,0874522
2,19 0,0958247
2,2 0,104336
2,21 0,112949
2,22 0,121627
2,23 0,130333
2,24 0,139033
2,25 0,147691
2,26 0,156276
2,27 0,164753
2,28 0,173094
2,29 0,181267
2,3 0,189245
2,31 0,197
2,32 0,204507
2,33 0,211742
2,34 0,218681
2,35 0,225304
2,36 0,231591
2,37 0,237523
2,38 0,243083
2,39 0,248254
2,4 0,253024
2,41 0,257378
2,42 0,261305
2,43 0,264794
2,44 0,267837
2,45 0,270424
2,46 0,27255
2,47 0,27421
2,48 0,275398
2,49 0,276112
2,5 0,276351
2,51 0,276112
2,52 0,275398
2,53 0,27421
2,54 0,27255
2,55 0,270424
2,56 0,267837
2,57 0,264794
2,58 0,261305
2,59 0,257378
2,6 0,253024
2,61 0,248254
2,62 0,243083
2,63 0,237523
2,64 0,231591
2,65 0,225304
2,66 0,218681
2,67 0,211742
2,68 0,204507
2,69 0,197
2,7 0,189245
2,71 0,181267
2,72 0,173094
2,73 0,164753
2,74 0,156276
2,75 0,147691
2,76 0,139033
2,77 0,130333
2,78 0,121627
2,79 0,112949
2,8 0,104336
2,81 0,0958247
2,82 0,0874522
2,83 0,0792561
2,84 0,071274
2,85 0,0635437
2,86 0,0561022
2,87 0,0489862
2,88 0,0422315
2,89 0,0358728
2,9 0,0299431
2,91 0,024474
2,92 0,0194951
2,93 0,0150337
2,94 0,0111144
2,95 0,00775942
2,96 0,00498769
2,97 0,00281511
2,98 0,0012542
2,99 0,000314007
3 2,01261e-10
3,01 0,000314007
3,02 0,0012542
3,03 0,00281511
3,04 0,00498769
3,05 0,00775942
3,06 0,0111144
3,07 0,0150337
3,08 0,0194951
3,09 0,024474
3,1 0,0299431
3,11 0,0358728
3,12 0,0422315
3,13 0,0489862
3,14 0,0561022
3,15 0,0635437
3,16 0,071274
3,17 0,0792561
3,18 0,0874522
3,19 0,0958247
3,2 0,104336
3,21 0,112949
3,22 0,121627
3,23 0,130333
3,24 0,139033
3,25 0,147691
3,26 0,156276
3,27 0,164753
3,28 0,173094
3,29 0,181267
3,3 0,189245
3,31 0,197
3,32 0,204507
3,33 0,211742
3,34 0,218681
3,35 0,225304
3,36 0,231591
3,37 0,237523
3,38 0,243083
3,39 0,248254
3,4 0,253024
3,41 0,257378
3,42 0,261305
3,43 0,264794
3,44 0,267837
3,45 0,270424
3,46 0,27255
3,47 0,27421
3,48 0,275398
3,49 0,276112
3,5 0,276351
3,51 0,276112
3,52 0,275398
3,53 0,27421
3,54 0,27255
3,55 0,270424
3,56 0,267837
3,57 0,264794
3,58 0,261305
3,59 0,257378
3,6 0,253024
3,61 0,248254
3,62 0,243083
3,63 0,237523
3,64 0,231591
3,65 0,225304
3,66 0,218681
3,67 0,211742
3,68 0,204507
3,69 0,197
3,7 0,189245
3,71 0,181267
3,72 0,173094
3,73 0,164753
3,74 0,156276
3,75 0,147691
3,76 0,139033
3,77 0,130333
3,78 0,121627
3,79 0,112949
3,8 0,104336
3,81 0,0958247
3,82 0,0874522
3,83 0,0792561
3,84 0,071274
3,85 0,0635437
3,86 0,0561022
3,87 0,0489862
3,88 0,0422315
3,89 0,0358728
3,9 0,0299431
3,91 0,024474
3,92 0,0194951
3,93 0,0150337
3,94 0,0111144
3,95 0,00775942
3,96 0,00498769
3,97 0,00281511
3,98 0,0012542
3,99 0,000314007
4 2,68348e-10
4,01 0,000314007
4,02 0,0012542
4,03 0,00281511
4,04 0,00498769
4,05 0,00775942
4,06 0,0111144
4,07 0,0150337
4,08 0,0194951
4,09 0,024474
4,1 0,0299431
4,11 0,0358728
4,12 0,0422315
4,13 0,0489862
4,14 0,0561022
4,15 0,0635437
4,16 0,071274
4,17 0,0792561
4,18 0,0874522
4,19 0,0958247
4,2 0,104336
4,21 0,112949
4,22 0,121627
4,23 0,130333
4,24 0,139033
4,25 0,147691
4,26 0,156276
4,27 0,164753
4,28 0,173094
4,29 0,181267
4,3 0,189245
4,31 0,197
4,32 0,204507
4,33 0,211742
4,34 0,218681
4,35 0,225304
4,36 0,231591
4,37 0,237523
4,38 0,243083
4,39 0,248254
4,4 0,253024
4,41 0,257378
4,42 0,261305
4,43 0,264794
4,44 0,267837
4,45 0,270424
4,46 0,27255
4,47 0,27421
4,48 0,275398
4,49 0,276112
4,5 0,276351
4,51 0,276112
4,52 0,275398
4,53 0,27421
4,54 0,27255
4,55 0,270424
4,56 0,267837
4,57 0,264794
4,58 0,261305
4,59 0,257378
4,6 0,253024
4,61 0,248254
4,62 0,243083
4,63 0,237523
4,64 0,231591
4,65 0,225304
4,66 0,218681
4,67 0,211742
4,68 0,204507
4,69 0,197
4,7 0,189245
4,71 0,181267
4,72 0,173094
4,73 0,164753
4,74 0,156276
4,75 0,147691
4,76 0,139033
4,77 0,130333
4,78 0,121627
4,79 0,112949
4,8 0,104336
4,81 0,0958247
4,82 0,0874522
4,83 0,0792561
4,84 0,071274
4,85 0,0635437
4,86 0,0561022
4,87 0,0489862
4,88 0,0422315
4,89 0,0358728
4,9 0,0299431
4,91 0,024474
4,92 0,0194951
4,93 0,0150337
4,94 0,0111144
4,95 0,00775942
4,96 0,00498769
4,97 0,00281511
4,98 0,0012542
4,99 0,000314007
5 3,35435e-10
5,01 0,000314007
5,02 0,0012542
5,03 0,00281511
5,04 0,00498769
5,05 0,00775942
5,06 0,0111144
5,07 0,0150337
5,08 0,0194951
5,09 0,024474
5,1 0,0299431
5,11 0,0358728
5,12 0,0422315
5,13 0,0489862
5,14 0,0561022
5,15 0,0635437
5,16 0,071274
5,17 0,0792561
5,18 0,0874522
5,19 0,0958247
5,2 0,104336
5,21 0,112949
5,22 0,121627
5,23 0,130333
5,24 0,139033
5,25 0,147691
5,26 0,156276
5,27 0,164753
5,28 0,173094
5,29 0,181267
5,3 0,189245
5,31 0,197
5,32 0,204507
5,33 0,211742
5,34 0,218681
5,35 0,225304
5,36 0,231591
5,37 0,237523
5,38 0,243083
5,39 0,248254
5,4 0,253024
5,41 0,257378
5,42 0,261305
5,43 0,264794
5,44 0,267837
5,45 0,270424
5,46 0,27255
5,47 0,27421
5,48 0,275398
5,49 0,276112
5,5 0,276351
5,51 0,276112
5,52 0,275398
5,53 0,27421
5,54 0,27255
5,55 0,270424
5,56 0,267837
5,57 0,264794
5,58 0,261305
5,59 0,257378
5,6 0,253024
5,61 0,248254
5,62 0,243083
5,63 0,237523
5,64 0,231591
5,65 0,225304
5,66 0,218681
5,67 0,211742
5,68 0,204507
5,69 0,197
5,7 0,189245
5,71 0,181267
5,72 0,173094
5,73 0,164753
5,74 0,156276
5,75 0,147691
5,76 0,139033
5,77 0,130333
5,78 0,121627
5,79 0,112949
5,8 0,104336
5,81 0,0958247
5,82 0,0874522
5,83 0,0792561
5,84 0,071274
5,85 0,0635437
5,86 0,0561022
5,87 0,0489862
5,88 0,0422315
5,89 0,0358728
5,9 0,0299431
5,91 0,024474
5,92 0,0194951
5,93 0,0150337
5,94 0,0111144
5,95 0,00775942
5,96 0,00498769
5,97 0,00281511
5,98 0,0012542
5,99 0,000314007
6 4,02522e-10
6,01 0,000314007
6,02 0,0012542
6,03 0,00281511
6,04 0,00498769
6,05 0,00775942
6,06 0,0111144
6,07 0,0150337
6,08 0,0194951
6,09 0,024474
6,1 0,0299431
6,11 0,0358728
6,12 0,0422315
6,13 0,0489862
6,14 0,0561022
6,15 0,0635437
6,16 0,071274
6,17 0,0792561
6,18 0,0874522
6,19 0,0958247
6,2 0,104336
6,21 0,112949
6,22 0,121627
6,23 0,130333
6,24 0,139033
6,25 0,147691
6,26 0,156276
6,27 0,164753
6,28 0,173094
6,29 0,181267
6,3 0,189245
6,31 0,197
6,32 0,204507
6,33 0,211742
6,34 0,218681
6,35 0,225304
6,36 0,231591
6,37 0,237523
6,38 0,243083
6,39 0,248254
6,4 0,253024
6,41 0,257378
6,42 0,261305
6,43 0,264794
6,44 0,267837
6,45 0,270424
6,46 0,27255
6,47 0,27421
6,48 0,275398
6,49 0,276112
6,5 0,276351
6,51 0,276112
6,52 0,275398
6,53 0,27421
6,54 0,27255
6,55 0,270424
6,56 0,267837
6,57 0,264794
6,58 0,261305
6,59 0,257378
6,6 0,253024
6,61 0,248254
6,62 0,243083
6,63 0,237523
6,64 0,231591
6,65 0,225304
6,66 0,218681
6,67 0,211742
6,68 0,204507
6,69 0,197
6,7 0,189245
6,71 0,181267
6,72 0,173094
6,73 0,164753
6,74 0,156276
6,75 0,147691
6,76 0,139033
6,77 0,130333
6,78 0,121627
6,79 0,112949
6,8 0,104336
6,81 0,0958247
6,82 0,0874522
6,83 0,0792561
6,84 0,071274
6,85 0,0635437
6,86 0,0561022
6,87 0,0489862
6,88 0,0422315
6,89 0,0358728
6,9 0,0299431
6,91 0,024474
6,92 0,0194951
6,93 0,0150337
6,94 0,0111144
6,95 0,00775942
6,96 0,00498769
6,97 0,00281511
6,98 0,0012542
